"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"264","UTRGV","33","15-18","2490","75.5","2584","78.3","-2.8"
"","George Washington","33","15-18","2225","67.4","2319","70.3","-2.8"
"266","CSU Bakersfield","30","12-18","1981","66.0","2068","68.9","-2.9"
"267","Long Beach St.","33","15-18","2485","75.3","2586","78.4","-3.1"
"268","St. Francis Brooklyn","31","13-18","2260","72.9","2357","76.0","-3.1"
"269","Lafayette","31","10-21","2207","71.2","2307","74.4","-3.2"
"270","A&M-Corpus Christi","29","11-18","1963","67.7","2057","70.9","-3.2"
"271","UTEP","31","11-20","2094","67.5","2197","70.9","-3.3"
"272","Sacred Heart","31","10-21","2129","68.7","2237","72.2","-3.5"
"273","Akron","32","14-18","2296","71.8","2411","75.3","-3.6"
"274","Richmond","32","12-20","2297","71.8","2418","75.6","-3.8"
"275","UT Martin","31","10-21","2135","68.9","2253","72.7","-3.8"
"276","George Mason","33","16-17","2371","71.8","2497","75.7","-3.8"
"277","Air Force","31","12-19","2124","68.5","2244","72.4","-3.9"
"278","UNCW","32","11-21","2542","79.4","2668","83.4","-3.9"
"279","Central Conn. St.","32","14-18","2171","67.8","2300","71.9","-4.0"
"280","Chattanooga","33","10-23","2289","69.4","2424","73.5","-4.1"
"281","Holy Cross","31","12-19","1972","63.6","2099","67.7","-4.1"
"282","Drexel","33","13-20","2454","74.4","2591","78.5","-4.2"
"283","IUPUI","30","11-19","2047","68.2","2180","72.7","-4.4"
"284","UC Riverside","31","9-22","2024","65.3","2163","69.8","-4.5"
"285","Alcorn","32","11-21","2244","70.1","2388","74.6","-4.5"
"","Cornell","28","12-16","2124","75.9","2250","80.4","-4.5"
"287","Washington St.","31","12-19","2270","73.2","2411","77.8","-4.5"
"","Eastern Ky.","31","11-20","2230","71.9","2371","76.5","-4.5"
"289","Loyola Marymount","31","11-20","2227","71.8","2369","76.4","-4.6"
"290","Presbyterian","32","11-21","2124","66.4","2273","71.0","-4.7"
"291","Portland","32","10-22","2221","69.4","2372","74.1","-4.7"
"292","Oral Roberts","32","11-21","2332","72.9","2484","77.6","-4.8"
"293","Dartmouth","27","7-20","1841","68.2","1970","73.0","-4.8"
"294","Arkansas St.","32","11-21","2369","74.0","2523","78.8","-4.8"
"295","Kennesaw St.","30","10-20","2182","72.7","2328","77.6","-4.9"
"296","Samford","32","10-22","2483","77.6","2639","82.5","-4.9"
"297","UConn","32","14-18","2181","68.2","2340","73.1","-5.0"
"298","Quinnipiac","33","12-21","2364","71.6","2531","76.7","-5.1"
"299","Southern Utah","32","13-19","2416","75.5","2583","80.7","-5.2"
"300","Jackson St.","32","12-20","1991","62.2","2161","67.5","-5.3"
"301","Ark.-Pine Bluff","35","14-21","2307","65.9","2499","71.4","-5.5"
"302","Loyola Maryland","31","9-22","2154","69.5","2326","75.0","-5.5"
"303","Morehead St.","29","8-21","2043","70.4","2204","76.0","-5.6"
"304","The Citadel","32","11-21","2639","82.5","2819","88.1","-5.6"
"305","Santa Clara","31","11-20","2048","66.1","2224","71.7","-5.7"
"306","North Florida","32","14-18","2602","81.3","2787","87.1","-5.8"
"","North Dakota","32","12-20","2427","75.8","2612","81.6","-5.8"
"308","Cleveland St.","35","12-23","2402","68.6","2613","74.7","-6.0"
"309","UMKC","32","10-22","2251","70.3","2447","76.5","-6.1"
"310","Howard","33","10-23","2449","74.2","2654","80.4","-6.2"
"311","Sacramento St.","32","7-25","2157","67.4","2358","73.7","-6.3"
"312","Little Rock","32","7-25","2038","63.7","2242","70.1","-6.4"
"313","Incarnate Word","28","7-21","1978","70.6","2163","77.3","-6.6"
"314","Omaha","31","9-22","2373","76.5","2588","83.5","-6.9"
"315","Colorado St.","32","11-21","2314","72.3","2537","79.3","-7.0"
"316","Detroit Mercy","32","8-24","2516","78.6","2743","85.7","-7.1"
